sliding_window,lag_price_window,n_estimators,max_depth,percentile,data_points,mse,mae,r2,worst_avg_error
7,1,100,10,100,2252,749.4462899685922,17.226497557726464,0.7800946280309689,18.118277138849926
7,1,100,10,99,2229,584.956912847362,16.09524194706146,0.8199972458005653,17.4034958725886
7,1,100,10,95,2139,371.43503633166904,13.649149135109864,0.8732555665538959,18.118277138849926
7,1,100,10,85,1914,183.7335283021421,10.093428631138975,0.9301669172456835,20.08814226750261
7,1,100,10,75,1689,94.42986656010655,7.567908111308466,0.958277851162433,22.404243694493783
7,2,100,10,100,2252,761.533105277482,17.39921585257549,0.7765480688552154,18.298223562412343
7,2,100,10,99,2229,595.9208857227142,16.263199685957826,0.8165706872354553,17.57800197397936
7,2,100,10,95,2139,383.39368266637206,13.820974240299206,0.8727643471441865,18.298223562412343
7,2,100,10,85,1914,185.14379493797807,10.157862957157786,0.9286824712835277,20.28669618599791
7,2,100,10,75,1689,95.7098343984902,7.636775429248075,0.9586522054692593,22.624326346950856
7,4,100,10,100,2252,778.2389852107814,17.74045968028419,0.7716461662239327,18.65891893408135
7,4,100,10,99,2229,628.1649091969449,16.660437101839392,0.8074886000421952,17.922678959174515
7,4,100,10,95,2139,405.3213668765405,14.15924198223469,0.8681654258906581,18.65891893408135
7,4,100,10,85,1914,193.56507097779524,10.35769791013584,0.9279908278474978,20.694457157784743
7,4,100,10,75,1689,99.98554341124338,7.779567969212551,0.9582935250849451,23.081441207815274
7,6,100,10,100,2252,796.1315123001775,16.330803730017763,0.7663960730848706,17.18578775128565
7,6,100,10,99,2229,592.9755878869449,15.062359802602067,0.8190591011016983,16.499300134589504
7,6,100,10,95,2139,348.75607391304374,12.362248714352503,0.8888370965369762,17.18578775128565
7,6,100,10,85,1914,138.9688927377222,8.480141065830724,0.9511315476120376,19.103197492163012
7,6,100,10,75,1689,65.14455660153939,6.139911190053286,0.9732450060867439,21.377199526346953
10,1,100,10,100,2249,752.7344619757448,17.314913783903958,0.7794035850343968,18.213040355805244
10,1,100,10,99,2226,589.1819674899011,16.188276909254267,0.8180336694992492,17.49302133872417
10,1,100,10,95,2136,386.63010023772483,13.814242790262172,0.8666357328864944,18.213040355805244
10,1,100,10,85,1911,186.7511865588488,10.122131449502875,0.9272600755106957,20.19640324437467
10,1,100,10,75,1687,95.34199579991109,7.559520746887964,0.9574457479583178,22.518660165975103
10,2,100,10,100,2249,754.1003373978435,17.287627078701647,0.7790033014860472,18.183996441947563
10,2,100,10,99,2226,588.043252415346,16.156583018867924,0.8189886008404945,17.465651123090748
10,2,100,10,95,2136,381.4860542922005,13.758302996254683,0.8685913506404304,18.183996441947563
10,2,100,10,85,1911,185.23285335060697,10.097069335426477,0.9284004306792276,20.163302982731555
10,2,100,10,75,1687,96.14057995163604,7.575790693538825,0.9575968610336167,22.47110818020154
10,4,100,10,100,2249,763.2181196727076,17.33142650066696,0.7763312435640641,18.228890964419474
10,4,100,10,99,2226,594.6805093444113,16.190403144654088,0.8175647420101089,17.509570709793348
10,4,100,10,95,2136,377.25946872152616,13.716651310861423,0.8710827718890967,18.228890964419474
10,4,100,10,85,1911,182.87468788318162,10.086732914704342,0.9300049747152043,20.216046049188908
10,4,100,10,75,1687,94.52294053324835,7.579711025489033,0.9586029939726214,22.54461671606402
10,6,100,10,100,2249,762.3710319768606,17.476239751000442,0.776579491144459,18.382352902621722
10,6,100,10,99,2226,598.9489578083917,16.347834681042226,0.8160159149529449,17.65620197663971
10,6,100,10,95,2136,384.8917416804728,13.903832069288393,0.8694575822430464,18.382352902621722
10,6,100,10,85,1911,189.96201781095763,10.279502982731554,0.9275080855235451,20.379017006802723
10,6,100,10,75,1687,99.4628372180261,7.748963781861291,0.9564730934973019,22.721446710136338
