sliding_window,lag_price_window,n_estimators,max_depth,percentile,data_points,mse,mae,r2,worst_avg_error
7,1,400,20,100,2252,942.86608710411,18.806656704410894,0.7233406577937647,19.783767422081972
7,1,400,20,99,2229,727.3982217197444,17.504038828323615,0.7723195804949368,19.0000280120009
7,1,400,20,95,2139,452.03278952075635,14.695650530037401,0.8471761655950711,19.783767422081972
7,1,400,20,85,1914,200.12469750036254,10.509178567136887,0.9251532704075315,21.957284554380006
7,1,400,20,75,1689,102.76104863650895,7.881424133362936,0.9588188225246339,24.51319061106177
7,2,400,20,100,2252,952.8785749965105,18.839291086996738,0.720402755633483,19.81697462735702
7,2,400,20,99,2229,725.0691012343124,17.513489839801107,0.7760031654420458,19.033165389374904
7,2,400,20,95,2139,462.63014759485253,14.76972192749727,0.8443201520516679,19.81697462735702
7,2,400,20,85,1914,198.33858859261065,10.475227888148725,0.9254739151800002,21.990017517197842
7,2,400,20,75,1689,101.90231904151561,7.862535597493578,0.9586852767067838,24.5514295458358
7,4,400,20,100,2252,786.6046878684314,17.587295825932515,0.7691914700311075,18.498156661991594
7,4,400,20,99,2229,619.8503372887637,16.443664737550478,0.8095162285519114,17.767854553611496
7,4,400,20,95,2139,398.9324562904084,13.940707094436663,0.8673141483394475,18.498156661991594
7,4,400,20,85,1914,184.0033168650491,10.091961781609204,0.9300438172858243,20.526294710031355
7,4,400,20,75,1689,94.537586381355,7.573319923031386,0.960948558565709,22.912514209591478
7,6,400,20,100,2252,796.1315123001776,16.330803730017774,0.7663960730848706,17.185787751285655
7,6,400,20,99,2229,592.9755878869447,15.062359802602073,0.8190591011016984,16.499300134589514
7,6,400,20,95,2139,348.756073913043,12.36224871435251,0.8888370965369764,17.185787751285655
7,6,400,20,85,1914,138.96889273772197,8.480141065830734,0.9511315476120377,19.10319749216302
7,6,400,20,75,1689,65.14455660153972,6.13991119005331,0.9732450060867438,21.377199526346953
10,1,400,20,100,2249,908.8036678821638,18.46272156536944,0.7336659324508832,19.420628452845406
10,1,400,20,99,2226,702.2913143060565,17.181985562338667,0.7805117320160415,18.65279392169027
10,1,400,20,95,2136,437.25834475044024,14.420276822182837,0.8510773469624092,19.420628452845406
10,1,400,20,85,1911,191.12438733860472,10.269798026193385,0.9272995557573982,21.548732731761817
10,1,400,20,75,1687,97.68575330765508,7.696774428155076,0.9598532661580649,24.040858801890746
10,2,400,20,100,2249,906.1852618099206,18.386779980838043,0.7344332827206517,19.344551510723203
10,2,400,20,99,2226,693.2153974381033,17.105119407863775,0.7851093000185152,18.57619650804347
10,2,400,20,95,2136,434.18449606346917,14.375726967183875,0.8520003102768227,19.344551510723203
10,2,400,20,85,1911,194.57467883569583,10.302569575390592,0.9250790968656187,21.480188952025863
10,2,400,20,75,1687,100.02637044696084,7.70225075016936,0.9569609325675742,23.991328682466758
10,4,400,20,100,2249,911.2035101074076,18.52101845264562,0.7329626345176621,19.48308684456929
10,4,400,20,99,2226,697.4944983207067,17.240864386792452,0.7828743961969176,18.711881918238994
10,4,400,20,95,2136,444.46820922561216,14.554514864232209,0.8481688451773447,19.48308684456929
10,4,400,20,85,1911,204.81112634656083,10.471609327577182,0.9196849333667542,21.6183195054945
10,4,400,20,75,1687,101.07520072200882,7.727009765856546,0.9564123367960036,24.134671310017776
10,6,400,20,100,2249,826.9047160464537,18.160692341040466,0.7576672451010014,19.10048978230337
10,6,400,20,99,2226,649.0067609696683,16.98590750224618,0.7993035022638959,18.34758940925427
10,6,400,20,95,2136,423.7626092020047,14.481629037921348,0.8573542890664371,19.10048978230337
10,6,400,20,85,1911,202.41512321336043,10.593042425431712,0.9215997650309922,21.176551282051285
10,6,400,20,75,1687,106.07549855469094,7.980059484291642,0.9537744114578262,23.601713604030824
15,1,400,20,100,2244,876.1458320509963,18.322579848120718,0.743780154334214,19.279230344664715
15,1,400,20,99,2221,688.6237431780468,17.117795651553156,0.7884477220889174,18.511776358147138
15,1,400,20,95,2131,443.97101882590283,14.465363579466729,0.8526416260512732,19.279230344664715
15,1,400,20,85,1907,193.6361026941062,10.297229611402617,0.9288796239328125,21.390207313134336
15,1,400,20,75,1683,97.78097980287325,7.68015320157799,0.9603802886247349,23.871107062228475
15,2,400,20,100,2244,872.1277085779876,18.250434521660935,0.7449552132552959,19.20311972858148
15,2,400,20,99,2221,667.8015263560532,17.005740282128382,0.7955718609940456,18.43883579090821
15,2,400,20,95,2131,425.8261346676355,14.382770561523763,0.857450550440991,19.20311972858148
15,2,400,20,85,1907,197.55980740583712,10.424656213698904,0.9247213039022755,21.307250207537393
15,2,400,20,75,1683,101.12094741367491,7.804259997984043,0.9561569712998118,23.79237575952098
