sliding_window,lag_price_window,percentile,data_points,mse,mae,r2,worst_avg_error
7,1,100,2252,1000.9056808918186,19.219125313738992,0.7063104601242927,100.83630188862573
7,1,99,2229,775.9272396924193,17.903819866456406,0.7660449187194366,84.76521928113887
7,1,95,2139,465.9070731767642,14.90741846335928,0.8452079129700811,58.932212729257465
7,1,85,1914,207.52776485352717,10.684039355405364,0.9215484121401165,34.31093221361059
7,1,75,1689,107.59960534822451,8.012305045388306,0.951419010936922,23.202341265260337
7,2,100,2252,3946.2786027424013,27.67149822293952,-0.15793203014703638,185.79779737191362
7,2,99,2229,1480.1798455551323,23.737470357787938,0.5579454654745419,121.30305786901347
7,2,95,2139,809.3792355840512,19.317934967290114,0.7363754527177226,78.98422652721716
7,2,85,1914,346.2148330265304,13.625137777520557,0.8725823558386405,44.621427897040235
7,2,75,1689,176.4578786122366,10.114711267935482,0.9309071758071645,30.291305884451123
7,4,100,2252,7972.820431358305,33.70298007331666,-1.3394152003522706,260.32481155956856
7,4,99,2229,2274.6279269986817,27.60350494077094,0.3130716826919281,155.88934106242206
7,4,95,2139,1115.9345268536772,21.7309057591762,0.6396634941102372,95.33371419676129
7,4,85,1914,435.8290731710566,14.690375533831505,0.849779574319888,53.59118689939495
7,4,75,1689,195.8871714707696,10.41242473609124,0.920596041039968,33.446794851447855
7,6,100,2252,796.1315123001777,16.330803730017763,0.7663960730848706,91.45238938053097
7,6,99,2229,592.9755878869448,15.062359802602064,0.8190591011016984,75.70357142857144
7,6,95,2139,348.7560739130435,12.3622487143525,0.8888370965369763,53.072803738317766
7,6,85,1914,138.96889273772206,8.48014106583072,0.9511315476120377,29.91270833333333
7,6,75,1689,65.14455660153936,6.139911190053286,0.973245006086744,18.68905882352941
10,1,100,2249,780.5547708467062,17.173315349769535,0.7712505633379255,87.68542701847814
10,1,99,2226,614.0624433686507,16.033607663526045,0.8108988139127566,73.92427516133989
10,1,95,2136,380.69157666891164,13.44303977928074,0.8728271259606216,53.094051039110944
10,1,85,1911,170.59589139668813,9.625304978276219,0.9332898236372535,31.737037350734706
10,1,75,1687,84.54283861356784,7.131016143391538,0.9628675781118787,20.356937588845472
10,2,100,2249,1059.9984189962252,19.266467707189914,0.6893567879355185,104.73881916927272
10,2,99,2226,781.7417074493271,17.79643034062693,0.7624527018849774,85.89520697444263
10,2,95,2136,464.1701133043055,14.744756230029163,0.849116661398854,59.15105972953865
10,2,85,1911,204.2404165921419,10.494901042571104,0.9256337232799283,35.090368526203584
10,2,75,1687,100.95516965201959,7.760533139463794,0.9552012931957369,22.86931417194143
10,4,100,2249,12028.671158535955,44.738556190480594,-2.525123225271814,353.72290353927986
10,4,99,2226,4201.913918767434,36.75066273799723,-0.2579467992901672,215.4402625067775
10,4,95,2136,1699.8343385482308,28.392474144406478,0.44062602028721454,112.62601782089621
10,4,85,1911,762.1469231907996,20.373713407371675,0.7247819075587338,65.93095712477395
10,4,75,1687,391.3331017739325,15.215740563410638,0.8498852521301796,44.53535300471149
10,6,100,2249,5247.2660097283115,33.06920557571067,-0.5377641500280219,233.4646794810305
10,6,99,2226,2366.0020276261507,28.41017021359568,0.30209470662054194,157.6790598552669
10,6,95,2136,1150.6141659972454,22.46775962472699,0.6358157325355688,94.45413994220574
10,6,85,1911,471.95592258210013,15.47433078138851,0.8421200687449459,54.135606675289274
10,6,75,1687,222.61871141542474,11.14387839727552,0.9160643838715875,35.41993006992329
15,1,100,2244,716.3006710307715,16.68752828742785,0.7905252291708433,82.15972352576885
15,1,99,2221,562.8203929568735,15.604583714435385,0.8260292774587682,69.40146708084781
15,1,95,2131,363.16942817406266,13.215750689148857,0.8724511727525133,52.10057214898597
15,1,85,1907,160.6003125319964,9.479400119735699,0.9368482189665438,29.9644983040158
15,1,75,1683,85.11349080624716,7.177272531620408,0.9606140272713933,20.09598250823303
15,2,100,2244,870.4594732406483,18.00609134471451,0.7454430715375944,90.90652561387007
15,2,99,2221,642.8317217029129,16.694818844787747,0.8061843306407384,74.06970791715476
15,2,95,2131,413.7370682524156,14.140418387222923,0.8635349009352979,54.78487517466905
15,2,85,1907,187.37960750770404,10.193310259343583,0.9287395006648587,32.670754073531576
15,2,75,1683,96.88697180621578,7.657180478852338,0.9565872424054449,22.023506259770834
15,4,100,2244,1410.94403324111,21.588381089903343,0.5873839157645424,118.25657080002519
15,4,99,2221,924.392321310812,19.660407739326903,0.7196716784850294,91.26822016288682
15,4,95,2131,569.3577433830743,16.462381353984163,0.8200501574655934,64.75514696213277
15,4,85,1907,256.741115546945,11.820679740738216,0.9103156809531194,38.42186807437367
15,4,75,1683,130.8690598713367,8.808771082520224,0.947345925590168,26.042118485793093
15,6,100,2244,6218.079124106758,36.65512381326541,-0.8184133453979014,251.19046910270075
15,6,99,2221,2697.5467123711437,31.469037826233922,0.1874621382381465,165.74908273607247
15,6,95,2131,1396.3815016975948,25.279012120301452,0.5446004695885172,101.66590284844379
15,6,85,1907,611.5559694034433,17.832299694927354,0.77231031171699,61.24636354336227
15,6,75,1683,297.05067294302955,13.008304925147902,0.8730554202795717,40.00169438825436
30,1,100,2229,688.9330971164551,16.34330378498018,0.7998213423278897,81.13327294557624
30,1,99,2206,519.7793054005369,15.19603808763345,0.8420189674827648,66.47271744260283
30,1,95,2117,335.4971258975911,12.91558694700816,0.8842395435609526,48.31139355491082
30,1,85,1894,161.33572924246496,9.488348499518336,0.9367883679064032,29.742991553110617
30,1,75,1672,86.95567031239344,7.204516769132237,0.9609054278478547,20.600353252681863
30,2,100,2229,733.7715167817837,16.728550478715288,0.7867929442173733,83.17956020898906
30,2,99,2206,530.7965661409548,15.472808611621543,0.8415843867467211,66.29975931998277
30,2,95,2117,347.5199159447218,13.212956199173172,0.8825831628131418,48.63710196983137
30,2,85,1894,171.37006270547366,9.779393587904204,0.9348676783987605,30.622828107426304
30,2,75,1672,91.62131798628197,7.409428650041636,0.9581384318194149,21.069404571622343
30,4,100,2229,848.9446952500871,17.592720898396387,0.7533278481694211,91.09542311756609
30,4,99,2206,592.2557020983264,16.18326407074197,0.8213815991304437,71.56221558430857
30,4,95,2117,373.8156657123943,13.704056444666104,0.8788582099469748,51.12953840836941
30,4,85,1894,179.30175393749076,10.08997542734838,0.9317946360770156,30.632126025362624
30,4,75,1672,98.32201100336566,7.717138730251942,0.9577005819735427,22.034931914904934
30,6,100,2229,1033.2269019998573,18.823492922090153,0.6997822064599073,100.92318563875064
30,6,99,2206,697.6902138650081,17.219332227324156,0.7894731115765021,78.49613269180715
30,6,95,2117,434.26233047144365,14.48000421908308,0.8561655392291414,56.28540114475863
30,6,85,1894,197.62662740100134,10.443991805775036,0.9215632379239679,33.24653331949938
